"SN","TN","ti","Hand","Block","CN"
2,119,345,-0.708637829,"FB",5
2,120,165,1.712352167,"FB",5
2,121,240,-0.963756532,"FB",6
2,122,45,1.533097697,"FB",6
2,123,15,2.944204682,"FB",6
2,124,195,3.907341483,"FB",6
2,125,0,5.335105741,"FB",6
2,126,270,-3.2310099,"FB",6
2,127,225,-10.43334414,"FB",6
2,128,180,1.338442921,"FB",6
2,129,315,3.564638972,"FB",6
2,130,120,8.054032379,"FB",6
2,131,345,1.125001264,"FB",6
2,132,285,0.333284793,"FB",6
2,133,105,8.678632633,"FB",6
2,134,165,3.496893007,"FB",6
2,135,60,-8.760444766,"FB",6
2,136,75,1.464143631,"FB",6
2,137,210,8.266133089,"FB",6
2,138,135,-3.483271469,"FB",6
2,139,300,6.28738982,"FB",6
2,140,30,-0.827454982,"FB",6
2,141,330,-2.051757767,"FB",6
2,142,150,0.109575122,"FB",6
2,143,255,-2.536536172,"FB",6
2,144,90,3.900493742,"FB",6
2,145,45,-9.771747352,"FB",7
2,146,105,10.3128838,"FB",7
2,147,255,0.121232271,"FB",7
2,148,90,2.313722498,"FB",7
2,149,300,5.425772115,"FB",7
2,150,60,-3.032897623,"FB",7
2,151,240,-10.91438322,"FB",7
2,152,165,-3.183653156,"FB",7
2,153,195,3.949787927,"FB",7
2,154,75,-4.712031738,"FB",7
2,155,135,3.451753908,"FB",7
2,156,330,-7.568592029,"FB",7
2,157,30,-0.771948057,"FB",7
2,158,315,-0.158713665,"FB",7
2,159,0,5.145458168,"FB",7
2,160,15,-0.963756532,"FB",7
2,161,225,-7.469185403,"FB",7
2,162,180,0.230102295,"FB",7
2,163,270,4.14177533,"FB",7
2,164,210,-1.987022577,"FB",7
2,165,120,5.512224315,"FB",7
2,166,345,0.430512347,"FB",7
2,167,150,-6.276619358,"FB",7
2,168,285,-0.236076191,"FB",7
2,169,345,1.908106936,"FB",8
2,170,225,-9.610679669,"FB",8
2,171,240,0.226427779,"FB",8
2,172,255,-0.485726157,"FB",8
2,173,330,-5.567944973,"FB",8
2,174,105,10.06458034,"FB",8
2,175,15,-4.380344724,"FB",8
2,176,300,4.848016029,"FB",8
2,177,120,5.922946199,"FB",8
2,178,195,6.910682932,"FB",8
2,179,135,-1.946195117,"FB",8
2,180,315,-2.110682769,"FB",8
2,181,285,10.67681568,"FB",8
2,182,60,-4.101274194,"FB",8
2,183,210,-3.327452177,"FB",8
2,184,90,6.08575112,"FB",8
2,185,270,1.500856087,"FB",8
2,186,150,-6.915479004,"FB",8
2,187,0,0,"FB",8
2,188,180,1.374834781,"FB",8
2,189,165,4.122806877,"FB",8
2,190,30,0.929631593,"FB",8
2,191,75,-1.353603199,"FB",8
2,192,45,0.899859715,"FB",8
3,1,105,9.041490344,"NoFB",1
3,2,315,4.848957615,"NoFB",1
3,3,255,-10.57729078,"NoFB",1
3,4,345,-7.232737194,"NoFB",1
3,5,225,-8.735316951,"NoFB",1
3,6,135,13.15370819,"NoFB",1
3,7,90,11.5425257,"NoFB",1
3,8,180,14.85386474,"NoFB",1
3,9,285,8.257415729,"NoFB",1
3,10,270,-0.627300987,"NoFB",1
3,11,0,5.77e-17,"NoFB",1
3,12,75,1.520500117,"NoFB",1
3,13,15,-1.697605617,"NoFB",1
3,14,150,8.29011724,"NoFB",1
3,15,330,2.114535229,"NoFB",1
3,16,210,-1.448608127,"NoFB",1
3,17,300,7.613956849,"NoFB",1
3,18,165,6.668625244,"NoFB",1
3,19,45,-9.586823923,"NoFB",1
3,20,195,8.304890539,"NoFB",1
3,21,30,-4.52357371,"NoFB",1
3,22,120,13.98900295,"NoFB",1
3,23,240,-12.40436846,"NoFB",1
3,24,60,-9.400660663,"NoFB",1
3,25,285,3.770008042,"NoFB",2
3,26,150,12.58202921,"NoFB",2
3,27,0,-2.99846714,"NoFB",2
3,28,180,0.674036898,"NoFB",2
3,29,195,1.850753214,"NoFB",2
3,30,270,-0.836375325,"NoFB",2
3,31,30,-5.27972729,"NoFB",2
3,32,255,-3.799885159,"NoFB",2
3,33,315,-2.1832393,"NoFB",2
3,34,75,-1.308231335,"NoFB",2
3,35,120,16.77479432,"NoFB",2
3,36,330,-2.600333574,"NoFB",2
3,37,225,-2.194931123,"NoFB",2
3,38,45,-9.180541958,"NoFB",2
3,39,345,-0.276473819,"NoFB",2
3,40,135,15.28083494,"NoFB",2
3,41,300,9.551348559,"NoFB",2
3,42,90,8.226722464,"NoFB",2
3,43,105,7.833654178,"NoFB",2
3,44,240,-11.18592517,"NoFB",2
3,45,15,-13.97696981,"NoFB",2
3,46,210,-9.370120054,"NoFB",2
3,47,165,10.9418962,"NoFB",2
3,48,60,-3.202751869,"NoFB",2
3,49,105,13.86272344,"NoFB",3
3,50,0,-0.670095522,"NoFB",3
3,51,90,13.03865658,"NoFB",3
3,52,240,-10.13166763,"NoFB",3
3,53,180,-1.930587441,"NoFB",3
3,54,60,-6.491296684,"NoFB",3
3,55,210,7.349349045,"NoFB",3
3,56,75,-6.439641416,"NoFB",3
3,57,225,-4.028263666,"NoFB",3
3,58,255,-6.551937422,"NoFB",3
3,59,270,1.776044253,"NoFB",3
3,60,285,9.661935916,"NoFB",3
3,61,330,5.515524873,"NoFB",3
3,62,345,7.633796107,"NoFB",3
3,63,15,6.388622828,"NoFB",3
3,64,315,1.85e-14,"NoFB",3
3,65,300,-1.260204708,"NoFB",3
3,66,120,14.43552782,"NoFB",3
3,67,165,2.445704846,"NoFB",3
3,68,195,5.453041682,"NoFB",3
3,69,135,13.03865658,"NoFB",3
3,70,45,-11.04094018,"NoFB",3
3,71,150,9.44395478,"NoFB",3
3,72,30,-0.469574768,"NoFB",3
3,73,240,-10.42607874,"NoFB",4
3,74,75,-10.5268558,"NoFB",4
3,75,330,-4.469072147,"NoFB",4
3,76,150,19.12280688,"NoFB",4
3,77,195,-0.695519824,"NoFB",4
3,78,45,0.458356458,"NoFB",4
3,79,60,-6.910619586,"NoFB",4
3,80,210,5.207079981,"NoFB",4
3,81,135,10.24068549,"NoFB",4
3,82,345,-7.802282154,"NoFB",4
3,83,225,-12.49040572,"NoFB",4
3,84,300,10.83756456,"NoFB",4
3,85,270,5.577605107,"NoFB",4
3,86,30,0.5297059,"NoFB",4
3,87,120,12.49837719,"NoFB",4
3,88,315,5.463842813,"NoFB",4
3,89,165,7.998732443,"NoFB",4
3,90,255,-8.479602983,"NoFB",4
3,91,15,-8.418055345,"NoFB",4
3,92,105,20.69676919,"NoFB",4
3,93,0,1.363927532,"NoFB",4
3,94,90,-2.829807593,"NoFB",4
3,95,285,-3.820780104,"NoFB",4
3,96,180,3.850638824,"NoFB",4
3,97,345,-7.599210378,"FB",5
3,98,0,-0.971021931,"FB",5
3,99,255,-5.316014033,"FB",5
3,100,210,2.221266812,"FB",5
3,101,120,11.94950551,"FB",5
3,102,240,4.834567242,"FB",5
3,103,30,5.537677792,"FB",5
3,104,180,8.820379552,"FB",5
3,105,150,3.796051896,"FB",5
3,106,285,1.419506743,"FB",5
3,107,60,-3.803412145,"FB",5
3,108,195,1.51919524,"FB",5
3,109,315,17.52556837,"FB",5
3,110,15,7.031665901,"FB",5
3,111,105,16.8907918,"FB",5
3,112,330,0.724745723,"FB",5
3,113,225,-5.767888898,"FB",5
3,114,300,11.50882857,"FB",5
3,115,270,3.698384372,"FB",5
3,116,45,-6.639470519,"FB",5
3,117,90,8.455027677,"FB",5
3,118,75,-4.880352365,"FB",5
3,119,165,-4.380783785,"FB",5
3,120,135,7.815293547,"FB",5
3,121,315,0.308038857,"FB",6
3,122,210,-0.653922793,"FB",6
3,123,285,3.695975625,"FB",6
3,124,240,-0.963756532,"FB",6
3,125,165,4.713828817,"FB",6
3,126,135,10.6406197,"FB",6
3,127,120,0.270975549,"FB",6
3,128,60,-7.066115302,"FB",6
3,129,150,2.571258778,"FB",6
3,130,105,12.85633573,"FB",6
3,131,225,-8.172764878,"FB",6
3,132,90,-2.960936134,"FB",6
3,133,75,1.865977694,"FB",6
3,134,330,-1.741127818,"FB",6
3,135,30,-1.073574165,"FB",6
3,136,345,-0.689992929,"FB",6
3,137,15,-4.244014984,"FB",6
3,138,255,4.176988774,"FB",6
3,139,180,0.261622746,"FB",6
3,140,45,-3.154842865,"FB",6
3,141,0,5.710593137,"FB",6
3,142,300,-5.391497195,"FB",6
3,143,195,2.067404818,"FB",6
3,144,270,-1.77146974,"FB",6
3,145,105,9.859254694,"FB",7
3,146,120,7.481573121,"FB",7
3,147,60,-4.338060023,"FB",7
3,148,90,3.012787504,"FB",7
3,149,75,-1.851800152,"FB",7
3,150,300,5.394795845,"FB",7
3,151,315,4.676052666,"FB",7
3,152,270,-2.683775159,"FB",7
3,153,165,-2.624507629,"FB",7
3,154,180,2.428048505,"FB",7
3,155,345,6.15818544,"FB",7
3,156,0,-8.319196649,"FB",7
3,157,135,3.327404242,"FB",7
3,158,45,1.698299156,"FB",7
3,159,285,7.939100533,"FB",7
3,160,225,-3.881376032,"FB",7
